Time	CellId	RNTI	BWPId	SINR(dB)
0.600964	5	3	0	41.0762
0.601464	5	3	0	41.0762
0.601964	5	3	0	41.0762
0.602464	5	3	0	41.0762
0.602964	5	3	0	41.0762
0.603464	5	3	0	41.0762
0.603964	5	3	0	41.0762
0.604464	5	3	0	41.0762
0.604964	5	3	0	41.0762
0.605464	5	3	0	41.0762
0.605929	5	3	0	41.0762
0.606464	5	3	0	41.0762
0.606929	5	3	0	41.0762
0.607464	5	3	0	41.0762
0.607964	5	3	0	41.0762
0.608429	5	3	0	41.0762
0.608964	5	3	0	41.0762
0.609464	5	3	0	41.0762
0.609964	5	3	0	41.0762
0.610464	5	3	0	41.0762
0.610964	5	3	0	41.0762
0.611464	5	3	0	41.0762
0.611964	5	3	0	41.0762
0.612464	5	3	0	41.0762
0.612964	5	3	0	41.0762
0.613464	5	3	0	41.0762
0.613964	5	3	0	41.0762
0.614429	5	3	0	41.0762
0.614929	5	3	0	41.0762
0.615464	5	3	0	41.0762
0.615964	5	3	0	41.0762
0.616429	5	3	0	41.0762
0.616964	5	3	0	41.0762
0.617464	5	3	0	41.0762
0.617964	5	3	0	41.0762
0.618464	5	3	0	41.0762
0.618964	5	3	0	41.0762
0.619464	5	3	0	41.0762
0.619964	5	3	0	41.0762
0.620464	5	3	0	41.0762
0.620964	5	3	0	41.0762
0.621464	5	3	0	41.0762
0.621964	5	3	0	41.0762
0.622464	5	3	0	41.0762
0.622964	5	3	0	41.0762
0.623464	5	3	0	41.0762
0.623964	5	3	0	41.0762
0.624464	5	3	0	41.0762
0.624929	5	3	0	41.0762
0.625464	5	3	0	41.0762
0.625964	5	3	0	41.0762
0.626464	5	3	0	41.0762
0.626964	5	3	0	41.0762
0.627464	5	3	0	41.0762
0.627964	5	3	0	41.0762
0.628464	5	3	0	41.0762
0.628964	5	3	0	41.0762
0.629464	5	3	0	41.0762
0.629929	5	3	0	41.0762
0.630464	5	3	0	41.0762
0.630964	5	3	0	41.0762
0.631429	5	3	0	41.0762
0.631929	5	3	0	41.0762
0.632464	5	3	0	41.0762
0.632964	5	3	0	41.0762
0.633464	5	3	0	41.0762
0.633964	5	3	0	41.0762
0.634464	5	3	0	41.0762
0.634821	5	3	0	41.0762
0.664964	3	1	0	31.0734
0.665429	3	1	0	31.0734
0.665964	3	1	0	31.0734
0.666464	3	1	0	31.0734
0.666964	3	1	0	31.0734
0.667464	3	1	0	31.0734
0.667964	3	1	0	31.0734
0.668464	3	1	0	31.0734
0.668964	3	1	0	31.0734
0.669464	3	1	0	31.0734
0.669964	3	1	0	31.0734
0.670464	3	1	0	31.0734
0.670929	3	1	0	31.0734
0.671464	3	1	0	31.0734
0.671964	3	1	0	31.0734
0.672464	3	1	0	31.0734
0.672964	3	1	0	31.0734
0.673464	3	1	0	31.0734
0.673929	3	1	0	31.0734
0.674429	3	1	0	31.0734
0.674964	3	1	0	31.0734
0.675464	3	1	0	31.0734
0.675964	3	1	0	31.0734
0.676464	3	1	0	31.0734
0.676964	3	1	0	31.0734
0.677464	3	1	0	31.0734
0.677964	3	1	0	31.0734
0.678429	3	1	0	31.0734
0.678964	3	1	0	31.0734
0.679429	3	1	0	31.0734
0.679964	3	1	0	31.0734
0.680464	3	1	0	31.0734
0.680964	3	1	0	31.0734
0.681464	3	1	0	31.0734
0.681929	3	1	0	31.0734
0.682464	3	1	0	31.0734
0.682964	3	1	0	31.0734
0.683464	3	1	0	31.0734
0.683964	3	1	0	31.0734
0.684464	3	1	0	31.0734
0.684964	3	1	0	31.0734
0.685464	3	1	0	31.0734
0.685964	3	1	0	31.0734
0.686464	3	1	0	31.0734
0.686929	3	1	0	31.0734
0.687464	3	1	0	31.0734
0.687964	3	1	0	31.0734
0.688464	3	1	0	31.0734
0.688964	3	1	0	31.0734
0.689464	3	1	0	31.0734
0.689964	3	1	0	31.0734
0.690464	3	1	0	31.0734
0.690964	3	1	0	31.0734
0.691464	3	1	0	31.0734
0.691964	3	1	0	31.0734
0.692464	3	1	0	31.0734
0.692964	3	1	0	31.0734
0.693464	3	1	0	31.0734
0.693964	3	1	0	31.0734
0.694464	3	1	0	31.0734
0.694964	3	1	0	31.0734
0.695464	3	1	0	31.0734
0.695929	3	1	0	31.0734
0.696464	3	1	0	31.0734
0.696964	3	1	0	31.0734
0.697464	3	1	0	31.0734
0.697964	3	1	0	31.0734
0.698464	3	1	0	31.0734
0.698964	3	1	0	31.0734
0.699464	3	1	0	31.0734
0.699929	3	1	0	31.0734
0.700464	3	1	0	31.0734
0.700964	3	1	0	31.0734
0.701464	3	1	0	31.0734
0.701964	3	1	0	31.0734
0.702464	3	1	0	31.0734
0.702964	3	1	0	31.0734
0.703464	3	1	0	31.0734
0.703964	3	1	0	31.0734
0.704464	3	1	0	31.0734
0.704964	3	1	0	31.0734
0.705321	3	1	0	31.0734
0.767964	3	2	0	38.853
0.768464	3	2	0	38.853
0.768964	3	2	0	38.853
0.769464	3	2	0	38.853
0.769964	3	2	0	38.853
0.770464	3	2	0	38.853
0.770964	3	2	0	38.853
0.771464	3	2	0	38.853
0.771964	3	2	0	38.853
0.772464	3	2	0	38.853
0.772964	3	2	0	38.853
0.773464	3	2	0	38.853
0.773964	3	2	0	38.853
0.774464	3	2	0	38.853
0.774964	3	2	0	38.853
0.775464	3	2	0	38.853
0.775929	3	2	0	38.853
0.776464	3	2	0	38.853
0.77675	3	2	0	38.853
0.776964	3	3	0	32.0609
0.77725	3	2	0	38.853
0.777464	3	3	0	32.0609
0.77775	3	2	0	38.853
0.777964	3	3	0	32.0609
0.77825	3	2	0	38.853
0.778464	3	3	0	32.0609
0.77875	3	2	0	38.853
0.778964	3	3	0	32.0609
0.77925	3	2	0	38.853
0.779464	3	3	0	32.0609
0.779714	3	2	0	38.853
0.779929	3	3	0	32.0609
0.78025	3	2	0	38.853
0.780464	3	3	0	32.0609
0.78075	3	2	0	38.853
0.780964	3	3	0	32.0609
0.78125	3	2	0	38.853
0.781464	3	3	0	32.0609
0.78175	3	2	0	38.853
0.781964	3	3	0	32.0609
0.78225	3	2	0	38.853
0.782464	3	3	0	32.0609
0.78275	3	2	0	38.853
0.782964	3	3	0	32.0609
0.78325	3	2	0	38.853
0.783464	3	3	0	32.0609
0.78375	3	2	0	38.853
0.783964	3	3	0	32.0609
0.78425	3	2	0	38.853
0.784464	3	3	0	32.0609
0.78475	3	2	0	38.853
0.784964	3	3	0	32.0609
0.78525	3	2	0	38.853
0.785429	3	3	0	32.0609
0.78575	3	2	0	38.853
0.785964	3	3	0	32.0609
0.78625	3	2	0	38.853
0.786464	3	3	0	32.0609
0.78675	3	2	0	38.853
0.786964	3	3	0	32.0609
0.78725	3	2	0	38.853
0.787464	3	3	0	32.0609
0.78775	3	2	0	38.853
0.787964	3	3	0	32.0609
0.78825	3	2	0	38.853
0.788464	3	3	0	32.0609
0.78875	3	2	0	38.853
0.788964	3	3	0	32.0609
0.78925	3	2	0	38.853
0.789464	3	3	0	32.0609
0.78975	3	2	0	38.853
