time(s)	cellId	rnti	lcid	packetSize
0.562	1	1	3	5368
0.5625	1	1	3	5368
0.563	1	1	3	5368
0.5635	1	1	3	5368
0.564	1	1	3	5368
0.5645	1	1	3	5368
0.565	1	1	3	4923
0.5655	1	1	3	5368
0.566	1	1	3	5368
0.5665	1	1	3	5368
0.567	1	1	3	5368
0.5675	1	1	3	5368
0.568	1	1	3	5368
0.5685	1	1	3	4923
0.569	1	1	3	5368
0.5695	1	1	3	5368
0.57	1	1	3	5368
0.5705	1	1	3	5368
0.571	1	1	3	5368
0.5715	1	1	3	5368
0.572	1	1	3	4923
0.5725	1	1	3	4923
0.573	1	1	3	5368
0.5735	1	1	3	5368
0.574	1	1	3	5368
0.5745	1	1	3	4923
0.575	1	1	3	5368
0.5755	1	1	3	5368
0.576	1	1	3	5368
0.5765	1	1	3	5368
0.577	1	1	3	5368
0.5775	1	1	3	5368
0.578	1	1	3	5368
0.5785	1	1	3	5368
0.579	1	1	3	5368
0.5795	1	1	3	5368
0.58	1	1	3	5368
0.5805	1	1	3	5368
0.581	1	1	3	5368
0.5815	1	1	3	5368
0.582	1	1	3	4923
0.5825	1	1	3	5368
0.583	1	1	3	5368
0.5835	1	1	3	5368
0.584	1	1	3	5368
0.5845	1	1	3	5368
0.585	1	1	3	5368
0.5855	1	1	3	5368
0.586	1	1	3	4923
0.5865	1	1	3	5368
0.587	1	1	3	5368
0.5875	1	1	3	5368
0.588	1	1	3	5368
0.5885	1	1	3	5368
0.589	1	1	3	5368
0.5895	1	1	3	5368
0.59	1	1	3	5368
0.5905	1	1	3	5368
0.591	1	1	3	5368
0.5915	1	1	3	5368
0.592	1	1	3	5368
0.5925	1	1	3	5368
0.593	1	1	3	5368
0.593	5	3	3	6485
0.5935	1	1	3	5368
0.5935	5	3	3	6485
0.594	1	1	3	5368
0.594	5	3	3	6485
0.5945	1	1	3	5368
0.5945	5	3	3	6485
0.595	1	1	3	5368
0.595	5	3	3	6485
0.5955	1	1	3	5368
0.5955	5	3	3	6485
0.596	1	1	3	4923
0.596	5	3	3	6485
0.5965	1	1	3	4923
0.5965	5	3	3	6485
0.597	1	1	3	3236
0.597	5	3	3	6485
0.5975	5	3	3	6485
0.598	5	3	3	6485
0.5985	5	3	3	6485
0.599	5	3	3	6485
0.5995	5	3	3	6485
0.6	5	3	3	6485
0.6005	5	3	3	6485
0.601	5	3	3	6485
0.6015	5	3	3	6485
0.602	5	3	3	6485
0.6025	5	3	3	6485
0.603	5	3	3	6485
0.6035	5	3	3	6485
0.604	5	3	3	6485
0.6045	5	3	3	5946
0.605	5	3	3	6485
0.6055	5	3	3	5946
0.606	5	3	3	6485
0.6065	5	3	3	6485
0.607	5	3	3	5946
0.6075	5	3	3	6485
0.608	5	3	3	6485
0.6085	5	3	3	6485
0.609	5	3	3	6485
0.6095	5	3	3	6485
0.61	5	3	3	6485
0.6105	5	3	3	6485
0.611	5	3	3	6485
0.6115	5	3	3	6485
0.612	5	3	3	6485
0.6125	5	3	3	6485
0.613	5	3	3	5946
0.6135	5	3	3	5946
0.614	5	3	3	6485
0.6145	5	3	3	6485
0.615	5	3	3	5946
0.6155	5	3	3	6485
0.616	5	3	3	6485
0.6165	5	3	3	6485
0.617	5	3	3	6485
0.6175	5	3	3	6485
0.618	5	3	3	6485
0.6185	5	3	3	6485
0.619	5	3	3	6485
0.6195	5	3	3	6485
0.62	5	3	3	6485
0.6205	5	3	3	6485
0.621	5	3	3	6485
0.6215	5	3	3	6485
0.622	5	3	3	6485
0.6225	5	3	3	6485
0.623	5	3	3	6485
0.6235	5	3	3	5946
0.624	5	3	3	6485
0.6245	5	3	3	6485
0.625	5	3	3	6485
0.6255	5	3	3	6485
0.626	5	3	3	6485
0.6265	5	3	3	6485
0.627	5	3	3	6485
0.6275	5	3	3	6485
0.628	5	3	3	6485
0.6285	5	3	3	5946
0.629	5	3	3	6485
0.6295	5	3	3	6485
0.63	5	3	3	5946
0.6305	5	3	3	5946
0.631	5	3	3	6485
0.6315	5	3	3	6485
0.632	5	3	3	6485
0.6325	5	3	3	6485
0.633	5	3	3	6485
0.6335	5	3	3	4024
0.6635	3	1	3	6485
0.664	3	1	3	5946
0.6645	3	1	3	6485
0.665	3	1	3	6485
0.6655	3	1	3	6485
0.666	3	1	3	6485
0.6665	3	1	3	6485
0.667	3	1	3	6485
0.6675	3	1	3	6485
0.668	3	1	3	6485
0.6685	3	1	3	6485
0.669	3	1	3	6485
0.6695	3	1	3	5946
0.67	3	1	3	6485
0.6705	3	1	3	6485
0.671	3	1	3	6485
0.6715	3	1	3	6485
0.672	3	1	3	6485
0.6725	3	1	3	5946
0.673	3	1	3	5946
0.6735	3	1	3	6485
0.674	3	1	3	6485
0.6745	3	1	3	6485
0.675	3	1	3	6485
0.6755	3	1	3	6485
0.676	3	1	3	6485
0.6765	3	1	3	6485
0.677	3	1	3	5946
0.6775	3	1	3	6485
0.678	3	1	3	5946
0.6785	3	1	3	6485
0.679	3	1	3	6485
0.6795	3	1	3	6485
0.68	3	1	3	6485
0.6805	3	1	3	5946
0.681	3	1	3	6485
0.6815	3	1	3	6485
0.682	3	1	3	6485
0.6825	3	1	3	6485
0.683	3	1	3	6485
0.6835	3	1	3	6485
0.684	3	1	3	6485
0.6845	3	1	3	6485
0.685	3	1	3	6485
0.6855	3	1	3	5946
0.686	3	1	3	6485
0.6865	3	1	3	6485
0.687	3	1	3	6485
0.6875	3	1	3	6485
0.688	3	1	3	6485
0.6885	3	1	3	6485
0.689	3	1	3	6485
0.6895	3	1	3	6485
0.69	3	1	3	6485
0.6905	3	1	3	6485
0.691	3	1	3	6485
0.6915	3	1	3	6485
0.692	3	1	3	6485
0.6925	3	1	3	6485
0.693	3	1	3	6485
0.6935	3	1	3	6485
0.694	3	1	3	6485
0.6945	3	1	3	5946
0.695	3	1	3	6485
0.6955	3	1	3	6485
0.696	3	1	3	6485
0.6965	3	1	3	6485
0.697	3	1	3	6485
0.6975	3	1	3	6485
0.698	3	1	3	6485
0.6985	3	1	3	5946
0.699	3	1	3	6485
0.6995	3	1	3	6485
0.7	3	1	3	6485
0.7005	3	1	3	6485
0.701	3	1	3	6485
0.7015	3	1	3	6485
0.702	3	1	3	6485
0.7025	3	1	3	6485
0.703	3	1	3	6485
0.7035	3	1	3	6485
0.704	3	1	3	4024
0.7665	3	2	3	6485
0.767	3	2	3	6485
0.7675	3	2	3	6485
0.768	3	2	3	6485
0.7685	3	2	3	6485
0.769	3	2	3	6485
0.7695	3	2	3	6485
0.77	3	2	3	6485
0.7705	3	2	3	6485
0.771	3	2	3	6485
0.7715	3	2	3	6485
0.772	3	2	3	6485
0.7725	3	2	3	6485
0.773	3	2	3	6485
0.7735	3	2	3	6485
0.774	3	2	3	6485
0.7745	3	2	3	5946
0.775	3	2	3	6485
0.7755	3	2	3	3241
0.7755	3	3	3	2684
0.776	3	2	3	3241
0.776	3	3	3	2684
0.7765	3	2	3	3241
0.7765	3	3	3	2684
0.777	3	2	3	3241
0.777	3	3	3	2684
0.7775	3	2	3	3241
0.7775	3	3	3	2684
0.778	3	2	3	3241
0.778	3	3	3	2684
0.7785	3	2	3	2701
0.7785	3	3	3	2684
0.779	3	2	3	3241
0.779	3	3	3	2684
0.7795	3	2	3	3241
0.7795	3	3	3	2684
0.78	3	2	3	3241
0.78	3	3	3	2684
0.7805	3	2	3	3241
0.7805	3	3	3	2684
0.781	3	2	3	3241
0.781	3	3	3	2684
0.7815	3	2	3	3241
0.7815	3	3	3	2684
0.782	3	2	3	3241
0.782	3	3	3	2684
0.7825	3	2	3	3241
0.7825	3	3	3	2684
0.783	3	2	3	3241
0.783	3	3	3	2684
0.7835	3	2	3	3241
0.7835	3	3	3	2684
0.784	3	2	3	3241
0.784	3	3	3	2235
0.7845	3	2	3	3241
0.7845	3	3	3	2684
0.785	3	2	3	3241
0.785	3	3	3	2684
0.7855	3	2	3	3241
0.7855	3	3	3	2684
0.786	3	2	3	3241
0.786	3	3	3	2684
0.7865	3	2	3	3241
0.7865	3	3	3	2684
0.787	3	2	3	3241
0.787	3	3	3	2684
0.7875	3	2	3	3241
0.7875	3	3	3	2684
0.788	3	2	3	3241
0.788	3	3	3	2684
0.7885	3	2	3	3241
0.7885	3	3	3	2684
0.789	3	2	3	3241
0.789	3	3	3	2684
0.7895	3	2	3	2701
0.7895	3	3	3	2684
0.79	3	2	3	3241
0.79	3	3	3	2684
0.7905	3	2	3	3241
0.7905	3	3	3	2684
0.791	3	2	3	3241
0.791	3	3	3	2684
0.7915	3	2	3	3241
0.7915	3	3	3	2684
0.792	3	2	3	3241
0.792	3	3	3	2684
0.7925	3	2	3	3241
0.7925	3	3	3	2235
0.793	3	2	3	2701
0.793	3	3	3	2684
0.7935	3	2	3	3241
0.7935	3	3	3	2684
0.794	3	2	3	3241
0.794	3	3	3	2684
0.7945	3	2	3	3241
0.7945	3	3	3	2684
0.795	3	2	3	3241
0.795	3	3	3	2684
0.7955	3	2	3	3241
0.7955	3	3	3	2684
0.796	3	2	3	3241
0.796	3	3	3	2684
0.7965	3	2	3	3241
0.7965	3	3	3	2684
