Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.364464	HARQ FD Txed	36	4	0	3	4	0	14	2
0.364464	HARQ FD Txed	36	4	0	3	5	0	14	2
0.364464	HARQ FD Txed	36	4	0	3	6	0	14	2
0.364464	HARQ FD Txed	36	4	0	3	11	0	14	2
0.364464	HARQ FD Txed	36	4	0	3	12	0	14	2
0.369036	DL DCI Rxed	36	9	0	5	1	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	2	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	3	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	4	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	5	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	11	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	12	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	13	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	14	0	15	2
0.369036	DL DCI Rxed	36	9	0	5	15	0	15	2
0.369536	DL DCI Rxed	36	9	1	5	1	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	2	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	3	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	4	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	5	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	11	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	12	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	13	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	14	0	14	2
0.369536	DL DCI Rxed	36	9	1	5	15	0	14	2
0.370036	DL DCI Rxed	37	0	0	5	1	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	2	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	3	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	4	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	5	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	11	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	12	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	13	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	14	0	13	2
0.370036	DL DCI Rxed	37	0	0	5	15	0	13	2
0.370464	HARQ FD Txed	37	0	0	5	15	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	14	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	1	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	2	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	3	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	4	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	5	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	11	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	12	0	15	2
0.370464	HARQ FD Txed	37	0	0	5	13	0	15	2
0.370536	DL DCI Rxed	37	0	1	5	1	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	2	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	3	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	4	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	5	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	11	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	12	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	13	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	14	0	12	2
0.370536	DL DCI Rxed	37	0	1	5	15	0	12	2
0.370964	HARQ FD Txed	37	0	1	5	15	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	14	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	1	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	2	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	3	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	4	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	5	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	11	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	12	0	14	2
0.370964	HARQ FD Txed	37	0	1	5	13	0	14	2
0.371036	DL DCI Rxed	37	1	0	5	1	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	2	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	3	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	4	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	5	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	11	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	12	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	13	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	14	0	11	2
0.371036	DL DCI Rxed	37	1	0	5	15	0	11	2
0.371464	HARQ FD Txed	37	1	0	5	15	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	14	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	1	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	2	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	3	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	4	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	5	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	11	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	12	0	13	2
0.371464	HARQ FD Txed	37	1	0	5	13	0	13	2
0.371536	DL DCI Rxed	37	1	1	5	1	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	2	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	3	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	4	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	5	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	11	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	12	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	13	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	14	0	15	2
0.371536	DL DCI Rxed	37	1	1	5	15	0	15	2
0.371964	HARQ FD Txed	37	1	1	5	15	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	14	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	1	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	2	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	3	0	12	2
