Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.029	3	0	19	-110.182
0.029	3	0	22	-114.926
0.029	3	0	25	-115.525
0.029	3	0	28	-107.346
0.029	3	0	31	-100.317
0.0295	3	0	4	-113.828
0.0295	3	0	7	-96.2002
0.0295	3	0	10	-106.523
0.0295	3	0	13	-112.759
0.0295	3	0	16	-107.008
0.0295	3	0	19	-110.182
0.0295	3	0	22	-114.926
0.0295	3	0	25	-115.525
0.0295	3	0	28	-107.346
0.0295	3	0	31	-100.317
0.03	1	0	3	-114.19
0.03	1	0	6	-108.316
0.03	1	0	9	-109.928
0.03	1	0	12	-110.333
0.03	1	0	15	-112.144
0.03	1	0	18	-111.712
0.03	1	0	21	-113.687
0.03	1	0	24	-109.714
0.03	1	0	27	-107.861
0.03	1	0	30	-110.066
0.03	3	0	4	-113.828
0.03	3	0	7	-96.2002
0.03	3	0	10	-106.523
0.03	3	0	13	-112.759
0.03	3	0	16	-107.008
0.03	3	0	19	-110.182
0.03	3	0	22	-114.926
0.03	3	0	25	-115.525
0.03	3	0	28	-107.346
0.03	3	0	31	-100.317
0.03	5	0	5	-93.4123
0.03	5	0	8	-92.0396
0.03	5	0	11	-102.569
0.03	5	0	14	-102.507
0.03	5	0	17	-110.871
0.03	5	0	20	-97.6195
0.03	5	0	23	-111.895
0.03	5	0	26	-85.9646
0.03	5	0	29	-107.965
0.03	5	0	32	-115.839
0.0305	5	0	5	-93.4123
0.0305	5	0	8	-92.0396
0.0305	5	0	11	-102.569
0.0305	5	0	14	-102.507
0.0305	5	0	17	-110.871
0.0305	5	0	20	-97.6195
0.0305	5	0	23	-111.895
0.0305	5	0	26	-85.9646
0.0305	5	0	29	-107.965
0.0305	5	0	32	-115.839
0.032	1	0	3	-114.19
0.032	1	0	6	-108.316
0.032	1	0	9	-109.928
0.032	1	0	12	-110.333
0.032	1	0	15	-112.144
0.032	1	0	18	-111.712
0.032	1	0	21	-113.687
0.032	1	0	24	-109.714
0.032	1	0	27	-107.861
0.032	1	0	30	-110.066
0.0325	3	0	4	-113.828
0.0325	3	0	7	-96.2002
0.0325	3	0	10	-106.523
0.0325	3	0	13	-112.759
0.0325	3	0	16	-107.008
0.0325	3	0	19	-110.182
0.0325	3	0	22	-114.926
0.0325	3	0	25	-115.525
0.0325	3	0	28	-107.346
0.0325	3	0	31	-100.317
0.033	3	0	4	-113.828
0.033	3	0	7	-96.2002
0.033	3	0	10	-106.523
0.033	3	0	13	-112.759
0.033	3	0	16	-107.008
0.033	3	0	19	-110.182
0.033	3	0	22	-114.926
0.033	3	0	25	-115.525
0.033	3	0	28	-107.346
0.033	3	0	31	-100.317
0.035	1	0	3	-114.19
0.035	1	0	6	-108.316
0.035	1	0	9	-109.928
0.035	1	0	12	-110.333
0.035	1	0	15	-112.144
0.035	1	0	18	-111.712
0.035	1	0	21	-113.687
0.035	1	0	24	-109.714
0.035	1	0	27	-107.861
0.035	1	0	30	-110.066
0.035	3	0	4	-113.828
0.035	3	0	7	-96.2002
0.035	3	0	10	-106.523
0.035	3	0	13	-112.759
0.035	3	0	16	-107.008
0.035	3	0	19	-110.182
0.035	3	0	22	-114.926
0.035	3	0	25	-115.525
0.035	3	0	28	-107.346
0.035	3	0	31	-100.317
0.035	5	0	5	-93.4123
0.035	5	0	8	-92.0396
0.035	5	0	11	-102.569
0.035	5	0	14	-102.507
0.035	5	0	17	-110.871
0.035	5	0	20	-97.6195
0.035	5	0	23	-111.895
0.035	5	0	26	-85.9646
0.035	5	0	29	-107.965
0.035	5	0	32	-115.839
0.036	1	0	3	-114.19
0.036	1	0	6	-108.316
0.036	1	0	9	-109.928
0.036	1	0	12	-110.333
0.036	1	0	15	-112.144
0.036	1	0	18	-111.712
0.036	1	0	21	-113.687
0.036	1	0	24	-109.714
0.036	1	0	27	-107.861
0.036	1	0	30	-110.066
0.0365	1	0	3	-114.19
0.0365	1	0	6	-108.316
0.0365	1	0	9	-109.928
0.0365	1	0	12	-110.333
0.0365	1	0	15	-112.144
0.0365	1	0	18	-111.712
0.0365	1	0	21	-113.687
0.0365	1	0	24	-109.714
0.0365	1	0	27	-107.861
0.0365	1	0	30	-110.066
0.037	3	0	4	-113.828
0.037	3	0	7	-96.2002
0.037	3	0	10	-106.523
0.037	3	0	13	-112.759
0.037	3	0	16	-107.008
0.037	3	0	19	-110.182
0.037	3	0	22	-114.926
0.037	3	0	25	-115.525
0.037	3	0	28	-107.346
0.037	3	0	31	-100.317
0.038	3	0	4	-113.828
0.038	3	0	7	-96.2002
0.038	3	0	10	-106.523
0.038	3	0	13	-112.759
0.038	3	0	16	-107.008
0.038	3	0	19	-110.182
0.038	3	0	22	-114.926
0.038	3	0	25	-115.525
0.038	3	0	28	-107.346
0.038	3	0	31	-100.317
0.04	1	0	3	-114.19
0.04	1	0	6	-108.316
0.04	1	0	9	-109.928
0.04	1	0	12	-110.333
0.04	1	0	15	-112.144
0.04	1	0	18	-111.712
0.04	1	0	21	-113.687
0.04	1	0	24	-109.714
0.04	1	0	27	-107.861
0.04	1	0	30	-110.066
0.04	3	0	4	-113.828
0.04	3	0	7	-96.2002
0.04	3	0	10	-106.523
0.04	3	0	13	-112.759
0.04	3	0	16	-107.008
0.04	3	0	19	-110.182
0.04	3	0	22	-114.926
0.04	3	0	25	-115.525
0.04	3	0	28	-107.346
0.04	3	0	31	-100.317
0.04	5	0	5	-93.4123
0.04	5	0	8	-92.0396
0.04	5	0	11	-102.569
0.04	5	0	14	-102.507
0.04	5	0	17	-110.871
