time(s)	cellId	rnti	lcid	packetSize
0.491654	5	2	3	1478
0.491655	5	2	3	1478
0.491656	5	2	3	1478
0.491658	5	2	3	1478
0.491659	5	2	3	1478
0.49166	5	2	3	1478
0.491661	5	2	3	1478
0.491663	5	2	3	1478
0.491664	5	2	3	1478
0.491665	5	2	3	1478
0.491666	5	2	3	1478
0.491667	5	2	3	1478
0.491669	5	2	3	1478
0.49167	5	2	3	1478
0.491671	5	2	3	1478
0.491672	5	2	3	1478
0.491673	5	2	3	1478
0.491675	5	2	3	1478
0.491676	5	2	3	1478
0.491677	5	2	3	1478
0.491678	5	2	3	1478
0.491679	5	2	3	1478
0.491681	5	2	3	1478
0.491682	5	2	3	1478
0.491683	5	2	3	1478
0.491684	5	2	3	1478
0.491686	5	2	3	1478
0.491687	5	2	3	1478
0.491688	5	2	3	1478
0.491689	5	2	3	1478
0.49169	5	2	3	1478
0.491692	5	2	3	1478
0.491693	5	2	3	1478
0.491694	5	2	3	1478
0.491695	5	2	3	1478
0.491696	5	2	3	1478
0.491698	5	2	3	1478
0.491699	5	2	3	1478
0.4917	5	2	3	1478
0.491701	5	2	3	1478
0.491703	5	2	3	1478
0.491704	5	2	3	1478
0.491705	5	2	3	1478
0.491706	5	2	3	1478
0.491707	5	2	3	1478
0.491709	5	2	3	1478
0.49171	5	2	3	1478
0.491711	5	2	3	1478
0.491712	5	2	3	1478
0.491713	5	2	3	1478
0.491715	5	2	3	1478
0.491716	5	2	3	1478
0.491717	5	2	3	1478
0.491718	5	2	3	1478
0.49172	5	2	3	1478
0.491721	5	2	3	1478
0.491722	5	2	3	1478
0.491723	5	2	3	1478
0.491724	5	2	3	1478
0.491726	5	2	3	1478
0.491727	5	2	3	1478
0.491728	5	2	3	1478
0.491729	5	2	3	1478
0.49173	5	2	3	1478
0.491732	5	2	3	1478
0.491733	5	2	3	1478
0.491734	5	2	3	1478
0.491735	5	2	3	1478
0.491737	5	2	3	1478
0.491738	5	2	3	1478
0.491739	5	2	3	1478
0.49174	5	2	3	1478
0.491741	5	2	3	1478
0.491743	5	2	3	1478
0.491744	5	2	3	1478
0.491745	5	2	3	1478
0.491746	5	2	3	1478
0.491747	5	2	3	1478
0.491749	5	2	3	1478
0.49175	5	2	3	1478
0.491751	5	2	3	1478
0.491752	5	2	3	1478
0.491754	5	2	3	1478
