time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.471064	5	1	3	6485	0.00156428
0.471529	5	1	3	5946	0.00152857
0.472029	5	1	3	5946	0.00152857
0.472564	5	1	3	6485	0.00156428
0.472921	5	1	3	4024	0.00142143
0.493564	5	2	3	6485	0.00156428
0.494064	5	2	3	6485	0.00156428
0.494529	5	2	3	5946	0.00152857
0.495029	5	2	3	5946	0.00152857
0.495564	5	2	3	6485	0.00156428
0.496064	5	2	3	6485	0.00156428
0.496529	5	2	3	5946	0.00152857
0.497064	5	2	3	6485	0.00156428
0.497564	5	2	3	6485	0.00156428
0.498064	5	2	3	6485	0.00156428
0.498564	5	2	3	6485	0.00156428
0.499064	5	2	3	6485	0.00156428
0.499564	5	2	3	6485	0.00156428
0.500064	5	2	3	6485	0.00156428
0.500564	5	2	3	6485	0.00156428
0.501064	5	2	3	6485	0.00156428
0.501564	5	2	3	6485	0.00156428
0.502064	5	2	3	6485	0.00156428
0.502564	5	2	3	6485	0.00156428
0.503064	5	2	3	6485	0.00156428
0.503564	5	2	3	6485	0.00156428
0.504064	5	2	3	6485	0.00156428
0.504564	5	2	3	6485	0.00156428
0.505029	5	2	3	5946	0.00152857
0.505564	5	2	3	6485	0.00156428
0.506064	5	2	3	6485	0.00156428
0.506564	5	2	3	6485	0.00156428
0.507064	5	2	3	6485	0.00156428
0.507564	5	2	3	6485	0.00156428
0.508064	5	2	3	6485	0.00156428
0.508564	5	2	3	6485	0.00156428
0.509064	5	2	3	6485	0.00156428
0.509564	5	2	3	6485	0.00156428
0.510029	5	2	3	5946	0.00152857
0.510564	5	2	3	6485	0.00156428
0.511064	5	2	3	6485	0.00156428
0.511529	5	2	3	5946	0.00152857
0.512029	5	2	3	5946	0.00152857
0.512564	5	2	3	6485	0.00156428
0.513064	5	2	3	6485	0.00156428
0.513564	5	2	3	6485	0.00156428
0.514064	5	2	3	6485	0.00156428
0.514564	5	2	3	6485	0.00156428
0.515064	5	2	3	6485	0.00156428
0.515564	5	2	3	6485	0.00156428
0.516064	5	2	3	6485	0.00156428
0.516564	5	2	3	6485	0.00156428
0.517064	5	2	3	6485	0.00156428
0.517564	5	2	3	6485	0.00156428
0.518064	5	2	3	6485	0.00156428
0.518564	5	2	3	6485	0.00156428
0.519064	5	2	3	6485	0.00156428
0.519564	5	2	3	6485	0.00156428
0.520064	5	2	3	6485	0.00156428
0.520564	5	2	3	6485	0.00156428
0.521064	5	2	3	6485	0.00156428
0.521564	5	2	3	6485	0.00156428
0.522064	5	2	3	6485	0.00156428
0.522564	5	2	3	6485	0.00156428
0.523064	5	2	3	6485	0.00156428
0.523564	5	2	3	6485	0.00156428
0.524064	5	2	3	6485	0.00156428
0.524564	5	2	3	6485	0.00156428
0.525064	5	2	3	6485	0.00156428
0.525564	5	2	3	6485	0.00156428
0.526029	5	2	3	5946	0.00152857
0.526564	5	2	3	6485	0.00156428
0.527029	5	2	3	5946	0.00152857
0.527564	5	2	3	6485	0.00156428
0.528064	5	2	3	6485	0.00156428
0.528529	5	2	3	5946	0.00152857
0.529064	5	2	3	6485	0.00156428
0.529564	5	2	3	6485	0.00156428
0.530064	5	2	3	6485	0.00156428
0.530564	5	2	3	6485	0.00156428
0.531064	5	2	3	6485	0.00156428
0.531564	5	2	3	6485	0.00156428
0.532064	5	2	3	6485	0.00156428
0.532564	5	2	3	6485	0.00156428
0.533064	5	2	3	6485	0.00156428
0.533564	5	2	3	6485	0.00156428
0.533921	5	2	3	4024	0.00142143
0.549564	1	1	3	5368	0.00156428
0.550064	1	1	3	5368	0.00156428
0.550564	1	1	3	5368	0.00156428
0.551064	1	1	3	5368	0.00156428
0.551564	1	1	3	5368	0.00156428
0.552064	1	1	3	5368	0.00156428
0.552564	1	1	3	5368	0.00156428
0.553064	1	1	3	5368	0.00156428
0.553564	1	1	3	5368	0.00156428
0.554064	1	1	3	5368	0.00156428
0.554564	1	1	3	5368	0.00156428
0.555064	1	1	3	5368	0.00156428
0.555564	1	1	3	5368	0.00156428
0.556064	1	1	3	5368	0.00156428
0.556564	1	1	3	5368	0.00156428
0.557064	1	1	3	5368	0.00156428
0.557529	1	1	3	4923	0.00152857
0.558029	1	1	3	4923	0.00152857
0.558564	1	1	3	5368	0.00156428
0.559064	1	1	3	5368	0.00156428
0.559564	1	1	3	5368	0.00156428
0.560064	1	1	3	5368	0.00156428
0.560564	1	1	3	5368	0.00156428
0.561064	1	1	3	5368	0.00156428
0.561564	1	1	3	5368	0.00156428
0.562064	1	1	3	5368	0.00156428
0.562564	1	1	3	5368	0.00156428
0.563029	1	1	3	4923	0.00152857
0.563564	1	1	3	5368	0.00156428
0.564064	1	1	3	5368	0.00156428
0.564564	1	1	3	5368	0.00156428
0.565064	1	1	3	5368	0.00156428
0.565564	1	1	3	5368	0.00156428
0.566064	1	1	3	5368	0.00156428
0.566529	1	1	3	4923	0.00152857
0.567064	1	1	3	5368	0.00156428
0.567564	1	1	3	5368	0.00156428
0.568064	1	1	3	5368	0.00156428
0.568564	1	1	3	5368	0.00156428
0.569064	1	1	3	5368	0.00156428
0.569564	1	1	3	5368	0.00156428
0.570029	1	1	3	4923	0.00152857
0.570564	1	1	3	5368	0.00156428
0.571064	1	1	3	5368	0.00156428
0.571564	1	1	3	5368	0.00156428
0.572064	1	1	3	5368	0.00156428
0.572564	1	1	3	5368	0.00156428
0.573064	1	1	3	5368	0.00156428
0.573529	1	1	3	4923	0.00152857
0.574029	1	1	3	4923	0.00152857
0.574564	1	1	3	5368	0.00156428
0.575064	1	1	3	5368	0.00156428
0.575564	1	1	3	5368	0.00156428
0.576029	1	1	3	4923	0.00152857
0.576564	1	1	3	5368	0.00156428
0.577064	1	1	3	5368	0.00156428
0.577564	1	1	3	5368	0.00156428
0.578064	1	1	3	5368	0.00156428
0.578564	1	1	3	5368	0.00156428
0.579064	1	1	3	5368	0.00156428
0.579564	1	1	3	5368	0.00156428
0.580064	1	1	3	5368	0.00156428
0.580564	1	1	3	5368	0.00156428
0.581064	1	1	3	5368	0.00156428
0.581564	1	1	3	5368	0.00156428
0.582064	1	1	3	5368	0.00156428
0.582564	1	1	3	5368	0.00156428
0.583064	1	1	3	5368	0.00156428
0.583529	1	1	3	4923	0.00152857
0.584064	1	1	3	5368	0.00156428
0.584564	1	1	3	5368	0.00156428
0.585064	1	1	3	5368	0.00156428
0.585564	1	1	3	5368	0.00156428
0.586064	1	1	3	5368	0.00156428
0.586564	1	1	3	5368	0.00156428
0.587064	1	1	3	5368	0.00156428
0.587529	1	1	3	4923	0.00152857
0.588064	1	1	3	5368	0.00156428
0.588564	1	1	3	5368	0.00156428
0.589064	1	1	3	5368	0.00156428
