Time	CellId	RNTI	BWPId	SINR(dB)
0.369536	5	2	0	36.6027
0.369536	5	3	0	29.0527
0.369536	5	4	0	28.4751
0.369536	5	5	0	19.7247
0.369536	5	11	0	36.0304
0.369536	5	12	0	15.1069
0.369536	5	13	0	45.6697
0.369536	5	14	0	20.0115
0.369536	5	15	0	15.2807
0.370036	1	1	0	12.9124
0.370036	1	2	0	23.0024
0.370036	1	3	0	19.8289
0.370036	1	4	0	15.8615
0.370036	1	5	0	17.5117
0.370036	1	6	0	22.4263
0.370036	1	11	0	14.7139
0.370036	1	12	0	19.9733
0.370036	1	13	0	21.8847
0.370036	1	14	0	20.9653
0.370036	3	1	0	18.4858
0.370036	3	2	0	29.1371
0.370036	3	3	0	26.8171
0.370036	3	4	0	19.1463
0.370036	3	5	0	23.0998
0.370036	3	6	0	22.6556
0.370036	3	11	0	20.4511
0.370036	3	12	0	17.4783
0.370036	3	13	0	24.9801
0.370036	3	14	0	30.8809
0.370036	5	1	0	32.3192
0.370036	5	2	0	36.6027
0.370036	5	3	0	29.0527
0.370036	5	4	0	28.4751
0.370036	5	5	0	19.7247
0.370036	5	11	0	36.0304
0.370036	5	12	0	15.1069
0.370036	5	13	0	45.6697
0.370036	5	14	0	20.0115
0.370036	5	15	0	15.2807
0.370536	5	1	0	32.3192
0.370536	5	2	0	36.6027
0.370536	5	3	0	29.0527
0.370536	5	4	0	28.4751
0.370536	5	5	0	19.7247
0.370536	5	11	0	36.0304
0.370536	5	12	0	15.1069
0.370536	5	13	0	45.6697
0.370536	5	14	0	20.0115
0.370536	5	15	0	15.2807
0.371036	3	1	0	18.4858
0.371036	3	2	0	29.1371
0.371036	3	3	0	26.8171
0.371036	3	4	0	19.1463
0.371036	3	5	0	23.0998
0.371036	3	6	0	22.6556
0.371036	3	11	0	20.4511
0.371036	3	12	0	17.4783
0.371036	3	13	0	24.9801
0.371036	3	14	0	30.8809
0.371036	5	1	0	32.3192
0.371036	5	2	0	36.6027
0.371036	5	3	0	29.0527
0.371036	5	4	0	28.4751
0.371036	5	5	0	19.7247
0.371036	5	11	0	36.0304
0.371036	5	12	0	15.1069
0.371036	5	13	0	45.6697
0.371036	5	14	0	20.0115
0.371036	5	15	0	15.2807
0.371536	5	1	0	32.3192
0.371536	5	2	0	36.6027
0.371536	5	3	0	29.0527
0.371536	5	4	0	28.4751
0.371536	5	5	0	19.7247
0.371536	5	11	0	36.0304
0.371536	5	12	0	15.1069
0.371536	5	13	0	45.6697
0.371536	5	14	0	20.0115
0.371536	5	15	0	15.2807
0.372036	1	1	0	12.9124
0.372036	1	2	0	23.0024
0.372036	1	3	0	19.8289
0.372036	1	4	0	15.8615
0.372036	1	5	0	17.5117
0.372036	1	6	0	22.4263
0.372036	1	11	0	14.7139
0.372036	1	12	0	19.9733
0.372036	1	13	0	21.8847
0.372036	1	14	0	20.9653
0.372036	5	1	0	32.3192
0.372036	5	2	0	36.6027
0.372036	5	3	0	29.0527
0.372036	5	4	0	28.4751
0.372036	5	5	0	19.7247
0.372036	5	11	0	36.0304
0.372036	5	12	0	15.1069
0.372036	5	13	0	45.6697
0.372036	5	14	0	20.0115
0.372036	5	15	0	15.2807
0.372536	1	1	0	12.9124
0.372536	1	2	0	23.0024
0.372536	1	3	0	19.8289
0.372536	1	4	0	15.8615
0.372536	1	5	0	17.5117
0.372536	1	6	0	22.4263
0.372536	1	11	0	14.7139
0.372536	1	12	0	19.9733
0.372536	1	13	0	21.8847
0.372536	1	14	0	20.9653
0.373036	5	1	0	32.3192
0.373036	5	2	0	36.6027
0.373036	5	3	0	29.0527
0.373036	5	4	0	28.4751
0.373036	5	5	0	19.7247
0.373036	5	11	0	36.0304
0.373036	5	12	0	15.1069
0.373036	5	13	0	45.6697
0.373036	5	14	0	20.0115
0.373036	5	15	0	15.2807
0.373536	5	1	0	32.3192
0.373536	5	2	0	36.6027
0.373536	5	3	0	29.0527
0.373536	5	4	0	28.4751
0.373536	5	5	0	19.7247
0.373536	5	11	0	36.0304
0.373536	5	12	0	15.1069
0.373536	5	13	0	45.6697
0.373536	5	14	0	20.0115
0.373536	5	15	0	15.2807
0.374536	1	1	0	12.9124
0.374536	1	2	0	23.0024
0.374536	1	3	0	19.8289
0.374536	1	4	0	15.8615
0.374536	1	5	0	17.5117
0.374536	1	6	0	22.4263
0.374536	1	11	0	14.7139
0.374536	1	12	0	19.9733
0.374536	1	13	0	21.8847
0.374536	1	14	0	20.9653
0.374536	3	1	0	18.4858
0.374536	3	2	0	29.1371
0.374536	3	3	0	26.8171
0.374536	3	4	0	19.1463
0.374536	3	5	0	23.0998
0.374536	3	6	0	22.6556
0.374536	3	11	0	20.4511
0.374536	3	12	0	17.4783
0.374536	3	13	0	24.9801
0.374536	3	14	0	30.8809
0.374536	5	1	0	32.3192
0.374536	5	2	0	36.6027
0.374536	5	3	0	29.0527
0.374536	5	4	0	28.4751
0.374536	5	5	0	19.7247
0.374536	5	11	0	36.0304
0.374536	5	12	0	15.1069
0.374536	5	13	0	45.6697
0.374536	5	14	0	20.0115
0.374536	5	15	0	15.2807
0.375036	1	1	0	12.9124
0.375036	1	2	0	23.0024
0.375036	1	3	0	19.8289
0.375036	1	4	0	15.8615
0.375036	1	5	0	17.5117
0.375036	1	6	0	22.4263
0.375036	1	11	0	14.7139
0.375036	1	12	0	19.9733
0.375036	1	13	0	21.8847
0.375036	1	14	0	20.9653
0.375036	3	1	0	18.4858
0.375036	3	2	0	29.1371
0.375036	3	3	0	26.8171
0.375036	3	4	0	19.1463
0.375036	3	5	0	23.0998
0.375036	3	6	0	22.6556
0.375036	3	11	0	20.4511
0.375036	3	12	0	17.4783
0.375036	3	13	0	24.9801
0.375036	3	14	0	30.8809
0.375036	5	1	0	32.3192
0.375036	5	2	0	36.6027
0.375036	5	3	0	29.0527
0.375036	5	4	0	28.4751
0.375036	5	5	0	19.7247
0.375036	5	11	0	36.0304
0.375036	5	12	0	15.1069
0.375036	5	13	0	45.6697
0.375036	5	14	0	20.0115
0.375036	5	15	0	15.2807
0.375536	5	1	0	32.3192
0.375536	5	2	0	36.6027
0.375536	5	3	0	29.0527
0.375536	5	4	0	28.4751
0.375536	5	5	0	19.7247
0.375536	5	11	0	36.0304
0.375536	5	12	0	15.1069
