Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.362107	DL	36	2	0	1	2	3	0	14	31	0	1	0	45.9729	15	0	0
0.362143	DL	36	2	0	3	1	3	0	1	14	0	1	0	31.0734	15	0	0
0.362214	DL	36	2	0	4	2	3	0	2	31	0	1	0	38.853	15	0	0
0.36225	DL	36	2	0	6	1	3	0	3	14	0	1	0	32.0609	13	0	0
0.362286	DL	36	2	0	7	1	3	0	4	14	0	1	0	33.2581	15	0	0
0.362321	DL	36	2	0	8	1	3	0	5	14	0	1	0	21.7787	8	0	0
0.362357	DL	36	2	0	9	1	3	0	6	14	0	1	0	28.694	13	0	0
0.362393	DL	36	2	0	10	1	3	0	11	14	0	1	0	30.2136	14	0	0
0.362429	DL	36	2	0	11	1	3	0	12	14	0	1	0	31.8638	13	0	0
0.362464	DL	36	2	0	12	1	3	0	13	14	0	1	0	35.3859	15	0	0
0.362571	DL	36	2	1	1	1	3	0	14	14	0	1	0	45.9729	15	0	0
0.362643	DL	36	2	1	2	2	3	0	1	31	0	1	0	31.0734	15	0	0
0.362679	DL	36	2	1	4	1	3	0	2	14	0	1	0	38.853	15	0	0
0.362714	DL	36	2	1	5	1	3	0	3	14	0	1	0	32.0609	13	0	0
0.36275	DL	36	2	1	6	1	3	0	4	14	0	1	0	33.2581	15	0	0
0.362786	DL	36	2	1	7	1	3	0	5	14	0	1	0	21.7787	8	0	0
0.362821	DL	36	2	1	8	1	3	0	6	14	0	1	0	28.694	13	0	0
0.362857	DL	36	2	1	9	1	3	0	11	14	0	1	0	30.2136	14	0	0
0.362893	DL	36	2	1	10	1	3	0	12	14	0	1	0	31.8638	13	0	0
0.362964	DL	36	2	1	11	2	3	0	13	31	0	1	0	35.3859	15	0	0
0.363071	DL	36	3	0	1	1	3	0	14	539	27	1	0	45.9729	15	0	0.0208
0.363107	DL	36	3	0	2	1	3	0	1	539	27	1	0	31.0734	15	0	0
0.363143	DL	36	3	0	3	1	3	0	2	539	27	1	0	38.853	15	0	0
0.363179	DL	36	3	0	4	1	3	0	3	445	23	1	0	32.0609	13	0	0
0.363214	DL	36	3	0	5	1	3	0	4	539	27	1	0	33.2581	15	0	0
0.36325	DL	36	3	0	6	1	3	0	5	237	13	1	0	21.7787	8	0	0.0005
0.363286	DL	36	3	0	7	1	3	0	6	445	23	1	0	28.694	13	0	0.0124
0.363321	DL	36	3	0	8	1	3	0	11	498	25	1	0	30.2136	14	0	0.0921737
0.363357	DL	36	3	0	9	1	3	0	12	445	23	1	0	31.8638	13	0	0.0001
0.367107	UL	36	7	0	1	2	3	0	13	31	0	1	0	25.3859	255	0	0
0.367107	UL	36	7	0	1	2	3	0	13	31	0	1	0	25.3859	255	0	0
0.367179	UL	36	7	0	3	2	3	0	12	31	0	1	0	21.8638	255	0	0
0.367179	UL	36	7	0	3	2	3	0	12	31	0	1	0	21.8638	255	0	0
0.367214	UL	36	7	0	5	1	3	0	11	14	0	1	0	20.2136	255	0	0
0.36725	UL	36	7	0	6	1	3	0	6	14	0	1	0	18.694	255	0	0
0.367286	UL	36	7	0	7	1	3	0	5	14	0	1	0	11.7787	255	0	0
0.367321	UL	36	7	0	8	1	3	0	4	14	0	1	0	23.2581	255	0	0
0.367357	UL	36	7	0	9	1	3	0	3	14	0	1	0	22.0609	255	0	0
0.367393	UL	36	7	0	10	1	3	0	2	14	0	1	0	28.853	255	0	0
0.367429	UL	36	7	0	11	1	3	0	1	14	0	1	0	21.0734	255	0	0
0.367464	UL	36	7	0	12	1	3	0	14	14	0	1	0	35.9729	255	0	0
0.367607	UL	36	7	1	1	2	3	0	11	31	0	1	0	20.2136	255	0	0
0.367607	UL	36	7	1	1	2	3	0	11	31	0	1	0	20.2136	255	0	0
0.367679	UL	36	7	1	3	2	3	0	6	31	0	1	0	18.694	255	0	0
0.367679	UL	36	7	1	3	2	3	0	6	31	0	1	0	18.694	255	0	0
0.36775	UL	36	7	1	5	2	3	0	5	31	0	1	0	11.7787	255	0	0
0.36775	UL	36	7	1	5	2	3	0	5	31	0	1	0	11.7787	255	0	0
0.367821	UL	36	7	1	7	2	3	0	4	31	0	1	0	23.2581	255	0	0
0.367821	UL	36	7	1	7	2	3	0	4	31	0	1	0	23.2581	255	0	0
0.367857	UL	36	7	1	9	1	3	0	3	14	0	1	0	22.0609	255	0	0
0.367893	UL	36	7	1	10	1	3	0	2	14	0	1	0	28.853	255	0	0
0.367929	UL	36	7	1	11	1	3	0	1	14	0	1	0	21.0734	255	0	0
0.367964	UL	36	7	1	12	1	3	0	14	14	0	1	0	35.9729	255	0	0
0.36825	UL	36	8	0	5	2	3	0	3	31	0	1	0	22.0609	255	0	0
0.36825	UL	36	8	0	5	2	3	0	3	31	0	1	0	22.0609	255	0	0
0.368321	UL	36	8	0	7	2	3	0	2	31	0	1	0	28.853	255	0	0
0.368321	UL	36	8	0	7	2	3	0	2	31	0	1	0	28.853	255	0	0
0.368393	UL	36	8	0	9	2	3	0	1	31	0	1	0	21.0734	255	0	0
0.368393	UL	36	8	0	9	2	3	0	1	31	0	1	0	21.0734	255	0	0
0.368464	UL	36	8	0	11	2	3	0	14	31	0	1	0	35.9729	255	0	0
0.368464	UL	36	8	0	11	2	3	0	14	31	0	1	0	35.9729	255	0	0
0.369071	DL	36	9	0	1	1	5	0	15	14	0	1	0	31.2037	15	0	0
0.369107	DL	36	9	0	2	1	5	0	14	14	0	1	0	28.3346	14	0	0
0.369143	DL	36	9	0	3	1	5	0	1	14	0	1	0	55.5115	15	0	0
0.369179	DL	36	9	0	4	1	5	0	2	14	0	1	0	59.2815	15	0	0
0.369214	DL	36	9	0	5	1	5	0	3	14	0	1	0	41.0762	15	0	0
0.36925	DL	36	9	0	6	1	5	0	4	14	0	1	0	42.3039	15	0	0
0.369286	DL	36	9	0	7	1	5	0	5	14	0	1	0	34.2419	15	0	0
0.369321	DL	36	9	0	8	1	5	0	11	14	0	1	0	44.1872	15	0	0
0.369393	DL	36	9	0	9	2	5	0	12	31	0	1	0	32.9886	15	0	0
0.369464	DL	36	9	0	11	2	5	0	13	31	0	1	0	62.0162	15	0	0
0.369571	DL	36	9	1	1	1	5	0	15	14	0	1	0	31.2037	15	0	0
0.369607	DL	36	9	1	2	1	5	0	14	14	0	1	0	28.3346	14	0	0
0.369643	DL	36	9	1	3	1	5	0	1	14	0	1	0	55.5115	15	0	0
0.369679	DL	36	9	1	4	1	5	0	2	14	0	1	0	59.2815	15	0	0
0.369714	DL	36	9	1	5	1	5	0	3	14	0	1	0	41.0762	15	0	0
0.369714	UL	36	9	1	5	1	3	0	13	445	23	1	0	25.3859	255	0	0
0.369714	UL	36	9	1	5	1	3	0	13	445	23	1	0	25.3859	255	0	0
0.36975	UL	36	9	1	6	1	3	0	12	281	15	1	0	21.8638	255	0	0.0006
0.36975	UL	36	9	1	6	1	3	0	12	281	15	1	0	21.8638	255	0	0.0006
0.369786	DL	36	9	1	6	2	5	0	4	31	0	1	0	42.3039	15	0	0
0.369786	UL	36	9	1	7	1	3	0	11	281	15	1	0	20.2136	255	0	0.0006
0.369786	UL	36	9	1	7	1	3	0	11	281	15	1	0	20.2136	255	0	0.0006
0.369821	DL	36	9	1	8	1	5	0	5	14	0	1	0	34.2419	15	0	0
0.369821	UL	36	9	1	8	1	3	0	6	259	14	1	0	18.694	255	1	0.0007
0.369821	UL	36	9	1	8	1	3	0	6	259	14	1	0	18.694	255	1	0.0007
0.369857	UL	36	9	1	9	1	3	0	5	119	6	1	0	11.7787	255	0	0
0.369857	UL	36	9	1	9	1	3	0	5	119	6	1	0	11.7787	255	0	0
0.369893	DL	36	9	1	9	2	5	0	11	31	0	1	0	44.1872	15	0	0
0.369893	UL	36	9	1	10	1	3	0	4	399	21	1	0	23.2581	255	0	0.0102
0.369893	UL	36	9	1	10	1	3	0	4	399	21	1	0	23.2581	255	0	0.0102
0.369929	DL	36	9	1	11	1	5	0	12	14	0	1	0	32.9886	15	0	0
0.369929	UL	36	9	1	11	1	3	0	3	281	15	1	0	22.0609	255	0	0.0006
0.369929	UL	36	9	1	11	1	3	0	3	281	15	1	0	22.0609	255	0	0.0006
0.369964	DL	36	9	1	12	1	5	0	13	14	0	1	0	62.0162	15	0	0
0.369964	UL	36	9	1	12	1	3	0	2	539	27	1	0	28.853	255	0	0.0208
0.369964	UL	36	9	1	12	1	3	0	2	539	27	1	0	28.853	255	0	0.0208
0.370071	DL	37	0	0	1	1	5	0	15	14	0	1	0	31.2037	15	0	0
0.370107	DL	37	0	0	2	1	5	0	14	14	0	1	0	28.3346	14	0	0
0.370143	DL	37	0	0	3	1	5	0	1	14	0	1	0	55.5115	15	0	0
0.370179	DL	37	0	0	4	1	5	0	2	14	0	1	0	59.2815	15	0	0
0.370214	UL	37	0	0	5	1	3	0	11	281	15	1	0	20.2136	255	0	0.0006
0.37025	DL	37	0	0	5	2	5	0	3	31	0	1	0	41.0762	15	0	0
0.37025	UL	37	0	0	6	1	3	0	6	259	14	1	0	18.694	255	0	0.0007
0.370286	DL	37	0	0	7	1	5	0	4	14	0	1	0	42.3039	15	0	0
0.370286	UL	37	0	0	7	1	3	0	5	119	6	1	0	11.7787	255	0	0
0.370321	UL	37	0	0	8	1	3	0	4	399	21	1	0	23.2581	255	0	0.0102
0.370357	DL	37	0	0	8	2	5	0	5	31	0	1	0	34.2419	15	0	0
0.370357	UL	37	0	0	9	1	3	0	3	281	15	1	0	22.0609	255	0	0.0006
0.370393	DL	37	0	0	10	1	5	0	11	14	0	1	0	44.1872	15	0	0
0.370393	UL	37	0	0	10	1	3	0	2	539	27	1	0	28.853	255	0	0.0208
0.370429	DL	37	0	0	11	1	5	0	12	14	0	1	0	32.9886	15	0	0
0.370429	UL	37	0	0	11	1	3	0	1	346	18	1	0	21.0734	255	0	0
0.370429	UL	37	0	0	11	1	3	0	1	346	18	1	0	21.0734	255	0	0
0.370464	DL	37	0	0	12	1	5	0	13	14	0	1	0	62.0162	15	0	0
0.370464	UL	37	0	0	12	1	3	0	14	498	25	1	0	35.9729	255	0	0.001
0.370464	UL	37	0	0	12	1	3	0	14	498	25	1	0	35.9729	255	0	0.001
0.370571	DL	37	0	1	1	1	5	0	15	14	0	1	0	31.2037	15	0	0
0.370607	DL	37	0	1	2	1	5	0	14	14	0	1	0	28.3346	14	0	0
0.370679	DL	37	0	1	3	2	5	0	1	31	0	1	0	55.5115	15	0	0
0.37075	DL	37	0	1	5	2	5	0	2	31	0	1	0	59.2815	15	0	0
0.370786	DL	37	0	1	7	1	5	0	3	14	0	1	0	41.0762	15	0	0
0.370821	DL	37	0	1	8	1	5	0	4	14	0	1	0	42.3039	15	0	0
0.370857	DL	37	0	1	9	1	5	0	5	14	0	1	0	34.2419	15	0	0
0.370857	UL	37	0	1	9	1	3	0	3	281	15	1	0	22.0609	255	0	0.0006
0.370893	DL	37	0	1	10	1	5	0	11	14	0	1	0	44.1872	15	0	0
0.370893	UL	37	0	1	10	1	3	0	2	539	27	1	0	28.853	255	0	0.0208
0.370929	DL	37	0	1	11	1	5	0	12	14	0	1	0	32.9886	15	0	0
0.370929	UL	37	0	1	11	1	3	0	1	346	18	1	0	21.0734	255	0	0
0.370964	DL	37	0	1	12	1	5	0	13	14	0	1	0	62.0162	15	0	0
0.370964	UL	37	0	1	12	1	3	0	14	498	25	1	0	35.9729	255	0	0.001
0.371107	DL	37	1	0	1	2	5	0	15	31	0	1	0	31.2037	15	0	0
0.371179	DL	37	1	0	3	2	5	0	14	31	0	1	0	28.3346	14	0	0
0.371214	DL	37	1	0	5	1	5	0	1	14	0	1	0	55.5115	15	0	0
0.37125	DL	37	1	0	6	1	5	0	2	14	0	1	0	59.2815	15	0	0
0.371286	DL	37	1	0	7	1	5	0	3	14	0	1	0	41.0762	15	0	0
0.371321	DL	37	1	0	8	1	5	0	4	14	0	1	0	42.3039	15	0	0
0.371357	DL	37	1	0	9	1	5	0	5	14	0	1	0	34.2419	15	0	0
0.371393	DL	37	1	0	10	1	5	0	11	14	0	1	0	44.1872	15	0	0
0.371429	DL	37	1	0	11	1	5	0	12	14	0	1	0	32.9886	15	0	0
0.371464	DL	37	1	0	12	1	5	0	13	14	0	1	0	62.0162	15	0	0
0.371464	UL	37	1	0	12	1	3	0	14	498	25	1	0	35.9729	255	0	0.001
0.371571	DL	37	1	1	1	1	5	0	15	14	0	1	0	31.2037	15	0	0
0.371607	DL	37	1	1	2	1	5	0	14	14	0	1	0	28.3346	14	0	0
0.371643	DL	37	1	1	3	1	5	0	1	14	0	1	0	55.5115	15	0	0
0.371679	DL	37	1	1	4	1	5	0	2	14	0	1	0	59.2815	15	0	0
0.371714	DL	37	1	1	5	1	5	0	3	14	0	1	0	41.0762	15	0	0
0.37175	DL	37	1	1	6	1	5	0	4	14	0	1	0	42.3039	15	0	0
0.371786	DL	37	1	1	7	1	5	0	5	14	0	1	0	34.2419	15	0	0
0.371821	DL	37	1	1	8	1	5	0	11	14	0	1	0	44.1872	15	0	0
0.371893	DL	37	1	1	9	2	5	0	12	31	0	1	0	32.9886	15	0	0
0.371964	DL	37	1	1	11	2	5	0	13	31	0	1	0	62.0162	15	0	0
0.372071	DL	37	2	0	1	1	5	0	15	539	27	1	0	31.2037	15	0	0.0208
0.372107	DL	37	2	0	2	1	5	0	14	498	25	1	0	28.3346	14	0	0.001
0.372143	DL	37	2	0	3	1	5	0	1	539	27	1	0	55.5115	15	0	0
