% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.369	5	0	0	1	37	0	0	3	1	13	1	0	0	14
0.369	5	0	0	2	37	0	0	4	1	13	1	0	0	14
0.369	5	0	0	3	37	0	0	5	2	13	1	0	0	31
0.369	5	0	0	4	37	0	0	7	1	13	1	0	0	14
0.369	5	0	0	5	37	0	0	8	2	13	1	0	0	31
0.369	5	0	0	11	37	0	0	10	1	13	1	0	0	14
0.369	5	0	0	12	37	0	0	11	1	13	1	0	0	14
0.369	5	0	0	13	37	0	0	12	1	13	1	0	0	14
0.3695	5	0	0	15	37	0	1	1	1	12	1	0	0	14
0.3695	5	0	0	14	37	0	1	2	1	12	1	0	0	14
0.3695	5	0	0	1	37	0	1	3	2	12	1	0	0	31
0.3695	5	0	0	2	37	0	1	5	2	12	1	0	0	31
0.3695	5	0	0	3	37	0	1	7	1	12	1	0	0	14
0.3695	5	0	0	4	37	0	1	8	1	12	1	0	0	14
0.3695	5	0	0	5	37	0	1	9	1	12	1	0	0	14
0.3695	5	0	0	11	37	0	1	10	1	12	1	0	0	14
0.3695	5	0	0	12	37	0	1	11	1	12	1	0	0	14
0.3695	5	0	0	13	37	0	1	12	1	12	1	0	0	14
0.37	5	0	0	15	37	1	0	1	2	11	1	0	0	31
0.37	5	0	0	14	37	1	0	3	2	11	1	0	0	31
0.37	5	0	0	1	37	1	0	5	1	11	1	0	0	14
0.37	5	0	0	2	37	1	0	6	1	11	1	0	0	14
0.37	5	0	0	3	37	1	0	7	1	11	1	0	0	14
0.37	5	0	0	4	37	1	0	8	1	11	1	0	0	14
0.37	5	0	0	5	37	1	0	9	1	11	1	0	0	14
0.37	5	0	0	11	37	1	0	10	1	11	1	0	0	14
0.37	5	0	0	12	37	1	0	11	1	11	1	0	0	14
0.37	5	0	0	13	37	1	0	12	1	11	1	0	0	14
0.3705	5	0	0	15	37	1	1	1	1	15	1	0	0	14
0.3705	5	0	0	14	37	1	1	2	1	15	1	0	0	14
0.3705	5	0	0	1	37	1	1	3	1	15	1	0	0	14
0.3705	5	0	0	2	37	1	1	4	1	15	1	0	0	14
0.3705	5	0	0	3	37	1	1	5	1	15	1	0	0	14
0.3705	5	0	0	4	37	1	1	6	1	15	1	0	0	14
0.3705	5	0	0	5	37	1	1	7	1	15	1	0	0	14
0.3705	5	0	0	11	37	1	1	8	1	15	1	0	0	14
0.3705	5	0	0	12	37	1	1	9	2	15	1	0	0	31
0.3705	5	0	0	13	37	1	1	11	2	15	1	0	0	31
0.371	5	0	0	15	37	2	0	1	1	14	1	0	27	539
0.371	5	0	0	14	37	2	0	2	1	14	1	0	25	498
0.371	5	0	0	1	37	2	0	3	1	14	1	0	27	539
0.371	5	0	0	2	37	2	0	4	1	14	1	0	27	539
0.371	5	0	0	3	37	2	0	5	1	14	1	0	27	539
0.371	5	0	0	4	37	2	0	6	1	14	1	0	27	539
0.371	5	0	0	5	37	2	0	7	1	14	1	0	27	539
0.371	5	0	0	11	37	2	0	8	1	14	1	0	27	539
0.431	5	0	0	1	43	2	0	1	12	15	1	0	27	6488
0.4315	5	0	0	1	43	2	1	1	12	14	1	0	27	6488
0.432	5	0	0	1	43	3	0	1	12	13	1	0	27	6488
0.4325	5	0	0	1	43	3	1	1	12	12	1	0	27	6488
0.433	5	0	0	1	43	4	0	1	12	11	1	0	27	6488
0.4335	5	0	0	1	43	4	1	1	12	15	1	0	27	6488
0.434	5	0	0	1	43	5	0	1	12	14	1	0	27	6488
0.4345	5	0	0	1	43	5	1	1	12	13	1	0	27	6488
0.435	5	0	0	1	43	6	0	1	12	12	1	0	27	6488
0.4355	5	0	0	1	43	6	1	1	12	11	1	0	27	6488
0.436	5	0	0	1	43	7	0	1	12	15	1	0	27	6488
0.4365	5	0	0	1	43	7	1	1	12	14	1	0	27	6488
0.437	5	0	0	1	43	8	0	1	12	13	1	0	27	6488
0.4375	5	0	0	1	43	8	1	1	12	12	1	0	27	6488
0.438	5	0	0	1	43	9	0	1	12	11	1	0	27	6488
0.4385	5	0	0	1	43	9	1	1	12	15	1	0	27	6488
0.439	5	0	0	1	44	0	0	1	12	14	1	0	27	6488
0.4395	5	0	0	1	44	0	1	1	12	13	1	0	27	6488
0.44	5	0	0	1	44	1	0	1	12	12	1	0	27	6488
0.4405	5	0	0	1	44	1	1	1	12	11	1	0	27	6488
0.441	5	0	0	1	44	2	0	1	12	15	1	0	27	6488
0.4415	5	0	0	1	44	2	1	1	12	14	1	0	27	6488
0.442	5	0	0	1	44	3	0	1	12	13	1	0	27	6488
0.4425	5	0	0	1	44	3	1	1	12	12	1	0	27	6488
0.443	5	0	0	1	44	4	0	1	12	11	1	0	27	6488
0.4435	5	0	0	1	44	4	1	1	12	15	1	0	27	6488
0.444	5	0	0	1	44	5	0	1	12	14	1	0	27	6488
0.4445	5	0	0	1	44	5	1	1	11	13	1	0	27	5949
0.445	5	0	0	1	44	6	0	1	12	12	1	0	27	6488
0.4455	5	0	0	1	44	6	1	1	11	11	1	0	27	5949
0.446	5	0	0	1	44	7	0	1	12	15	1	0	27	6488
0.4465	5	0	0	1	44	7	1	1	12	14	1	0	27	6488
0.447	5	0	0	1	44	8	0	1	11	13	1	0	27	5949
0.4475	5	0	0	1	44	8	1	1	12	12	1	0	27	6488
0.448	5	0	0	1	44	9	0	1	12	11	1	0	27	6488
0.4485	5	0	0	1	44	9	1	1	12	15	1	0	27	6488
0.449	5	0	0	1	45	0	0	1	12	14	1	0	27	6488
0.4495	5	0	0	1	45	0	1	1	12	13	1	0	27	6488
0.45	5	0	0	1	45	1	0	1	12	12	1	0	27	6488
0.4505	5	0	0	1	45	1	1	1	12	11	1	0	27	6488
0.451	5	0	0	1	45	2	0	1	12	15	1	0	27	6488
0.4515	5	0	0	1	45	2	1	1	12	14	1	0	27	6488
0.452	5	0	0	1	45	3	0	1	12	13	1	0	27	6488
0.4525	5	0	0	1	45	3	1	1	12	12	1	0	27	6488
0.453	5	0	0	1	45	4	0	1	11	11	1	0	27	5949
0.4535	5	0	0	1	45	4	1	1	11	15	1	0	27	5949
0.454	5	0	0	1	45	5	0	1	12	14	1	0	27	6488
0.4545	5	0	0	1	45	5	1	1	12	13	1	0	27	6488
0.455	5	0	0	1	45	6	0	1	11	12	1	0	27	5949
0.4555	5	0	0	1	45	6	1	1	12	11	1	0	27	6488
0.456	5	0	0	1	45	7	0	1	12	15	1	0	27	6488
0.4565	5	0	0	1	45	7	1	1	12	14	1	0	27	6488
0.457	5	0	0	1	45	8	0	1	12	13	1	0	27	6488
0.4575	5	0	0	1	45	8	1	1	12	12	1	0	27	6488
0.458	5	0	0	1	45	9	0	1	12	11	1	0	27	6488
0.4585	5	0	0	1	45	9	1	1	12	15	1	0	27	6488
0.459	5	0	0	1	46	0	0	1	12	14	1	0	27	6488
0.4595	5	0	0	1	46	0	1	1	12	13	1	0	27	6488
0.46	5	0	0	1	46	1	0	1	12	12	1	0	27	6488
0.4605	5	0	0	1	46	1	1	1	12	11	1	0	27	6488
0.461	5	0	0	1	46	2	0	1	12	15	1	0	27	6488
0.4615	5	0	0	1	46	2	1	1	12	14	1	0	27	6488
0.462	5	0	0	1	46	3	0	1	12	13	1	0	27	6488
0.4625	5	0	0	1	46	3	1	1	12	12	1	0	27	6488
0.463	5	0	0	1	46	4	0	1	12	11	1	0	27	6488
0.4635	5	0	0	1	46	4	1	1	11	15	1	0	27	5949
0.464	5	0	0	1	46	5	0	1	12	14	1	0	27	6488
0.4645	5	0	0	1	46	5	1	1	12	13	1	0	27	6488
0.465	5	0	0	1	46	6	0	1	12	12	1	0	27	6488
0.4655	5	0	0	1	46	6	1	1	12	11	1	0	27	6488
0.466	5	0	0	1	46	7	0	1	12	15	1	0	27	6488
0.4665	5	0	0	1	46	7	1	1	12	14	1	0	27	6488
0.467	5	0	0	1	46	8	0	1	12	13	1	0	27	6488
0.4675	5	0	0	1	46	8	1	1	12	12	1	0	27	6488
0.468	5	0	0	1	46	9	0	1	12	11	1	0	27	6488
0.4685	5	0	0	1	46	9	1	1	11	15	1	0	27	5949
0.469	5	0	0	1	47	0	0	1	12	14	1	0	27	6488
0.4695	5	0	0	1	47	0	1	1	12	13	1	0	27	6488
0.47	5	0	0	1	47	1	0	1	11	12	1	0	27	5949
0.4705	5	0	0	1	47	1	1	1	11	11	1	0	27	5949
0.471	5	0	0	1	47	2	0	1	12	15	1	0	27	6488
0.4715	5	0	0	1	47	2	1	1	8	14	1	0	27	4325
0.492	5	0	0	2	49	3	0	1	12	15	1	0	27	6488
0.4925	5	0	0	2	49	3	1	1	12	14	1	0	27	6488
0.493	5	0	0	2	49	4	0	1	11	13	1	0	27	5949
0.4935	5	0	0	2	49	4	1	1	11	12	1	0	27	5949
0.494	5	0	0	2	49	5	0	1	12	11	1	0	27	6488
0.4945	5	0	0	2	49	5	1	1	12	15	1	0	27	6488
0.495	5	0	0	2	49	6	0	1	11	14	1	0	27	5949
0.4955	5	0	0	2	49	6	1	1	12	13	1	0	27	6488
0.496	5	0	0	2	49	7	0	1	12	12	1	0	27	6488
0.4965	5	0	0	2	49	7	1	1	12	11	1	0	27	6488
0.497	5	0	0	2	49	8	0	1	12	15	1	0	27	6488
0.4975	5	0	0	2	49	8	1	1	12	14	1	0	27	6488
0.498	5	0	0	2	49	9	0	1	12	13	1	0	27	6488
0.4985	5	0	0	2	49	9	1	1	12	12	1	0	27	6488
0.499	5	0	0	2	50	0	0	1	12	11	1	0	27	6488
0.4995	5	0	0	2	50	0	1	1	12	15	1	0	27	6488
0.5	5	0	0	2	50	1	0	1	12	14	1	0	27	6488
0.5005	5	0	0	2	50	1	1	1	12	13	1	0	27	6488
0.501	5	0	0	2	50	2	0	1	12	12	1	0	27	6488
0.5015	5	0	0	2	50	2	1	1	12	11	1	0	27	6488
0.502	5	0	0	2	50	3	0	1	12	15	1	0	27	6488
0.5025	5	0	0	2	50	3	1	1	12	14	1	0	27	6488
0.503	5	0	0	2	50	4	0	1	12	13	1	0	27	6488
0.5035	5	0	0	2	50	4	1	1	11	12	1	0	27	5949
0.504	5	0	0	2	50	5	0	1	12	11	1	0	27	6488
0.5045	5	0	0	2	50	5	1	1	12	15	1	0	27	6488
0.505	5	0	0	2	50	6	0	1	12	14	1	0	27	6488
0.5055	5	0	0	2	50	6	1	1	12	13	1	0	27	6488
0.506	5	0	0	2	50	7	0	1	12	12	1	0	27	6488
0.5065	5	0	0	2	50	7	1	1	12	11	1	0	27	6488
0.507	5	0	0	2	50	8	0	1	12	15	1	0	27	6488
0.5075	5	0	0	2	50	8	1	1	12	14	1	0	27	6488
0.508	5	0	0	2	50	9	0	1	12	13	1	0	27	6488
0.5085	5	0	0	2	50	9	1	1	11	12	1	0	27	5949
0.509	5	0	0	2	51	0	0	1	12	11	1	0	27	6488
0.5095	5	0	0	2	51	0	1	1	12	15	1	0	27	6488
0.51	5	0	0	2	51	1	0	1	11	14	1	0	27	5949
0.5105	5	0	0	2	51	1	1	1	11	13	1	0	27	5949
0.511	5	0	0	2	51	2	0	1	12	12	1	0	27	6488
0.5115	5	0	0	2	51	2	1	1	12	11	1	0	27	6488
0.512	5	0	0	2	51	3	0	1	12	15	1	0	27	6488
0.5125	5	0	0	2	51	3	1	1	12	14	1	0	27	6488
0.513	5	0	0	2	51	4	0	1	12	13	1	0	27	6488
0.5135	5	0	0	2	51	4	1	1	12	12	1	0	27	6488
0.514	5	0	0	2	51	5	0	1	12	11	1	0	27	6488
0.5145	5	0	0	2	51	5	1	1	12	15	1	0	27	6488
0.515	5	0	0	2	51	6	0	1	12	14	1	0	27	6488
0.5155	5	0	0	2	51	6	1	1	12	13	1	0	27	6488
0.516	5	0	0	2	51	7	0	1	12	12	1	0	27	6488
0.5165	5	0	0	2	51	7	1	1	12	11	1	0	27	6488
0.517	5	0	0	2	51	8	0	1	12	15	1	0	27	6488
0.5175	5	0	0	2	51	8	1	1	12	14	1	0	27	6488
0.518	5	0	0	2	51	9	0	1	12	13	1	0	27	6488
0.5185	5	0	0	2	51	9	1	1	12	12	1	0	27	6488
0.519	5	0	0	2	52	0	0	1	12	11	1	0	27	6488
0.5195	5	0	0	2	52	0	1	1	12	15	1	0	27	6488
0.52	5	0	0	2	52	1	0	1	12	14	1	0	27	6488
0.5205	5	0	0	2	52	1	1	1	12	13	1	0	27	6488
0.521	5	0	0	2	52	2	0	1	12	12	1	0	27	6488
0.5215	5	0	0	2	52	2	1	1	12	11	1	0	27	6488
0.522	5	0	0	2	52	3	0	1	12	15	1	0	27	6488
0.5225	5	0	0	2	52	3	1	1	12	14	1	0	27	6488
0.523	5	0	0	2	52	4	0	1	12	13	1	0	27	6488
0.5235	5	0	0	2	52	4	1	1	12	12	1	0	27	6488
0.524	5	0	0	2	52	5	0	1	12	11	1	0	27	6488
0.5245	5	0	0	2	52	5	1	1	11	15	1	0	27	5949
0.525	5	0	0	2	52	6	0	1	12	14	1	0	27	6488
0.5255	5	0	0	2	52	6	1	1	11	13	1	0	27	5949
0.526	5	0	0	2	52	7	0	1	12	12	1	0	27	6488
0.5265	5	0	0	2	52	7	1	1	12	11	1	0	27	6488
0.527	5	0	0	2	52	8	0	1	11	15	1	0	27	5949
0.5275	5	0	0	2	52	8	1	1	12	14	1	0	27	6488
0.528	5	0	0	2	52	9	0	1	12	13	1	0	27	6488
0.5285	5	0	0	2	52	9	1	1	12	12	1	0	27	6488
0.529	5	0	0	2	53	0	0	1	12	11	1	0	27	6488
0.5295	5	0	0	2	53	0	1	1	12	15	1	0	27	6488
0.53	5	0	0	2	53	1	0	1	12	14	1	0	27	6488
0.5305	5	0	0	2	53	1	1	1	12	13	1	0	27	6488
0.531	5	0	0	2	53	2	0	1	12	12	1	0	27	6488
0.5315	5	0	0	2	53	2	1	1	12	11	1	0	27	6488
0.532	5	0	0	2	53	3	0	1	12	15	1	0	27	6488
0.5325	5	0	0	2	53	3	1	1	8	14	1	0	27	4325
0.548	1	0	0	1	54	9	0	1	12	15	1	0	23	5371
0.5485	1	0	0	1	54	9	1	1	12	14	1	0	23	5371
0.549	1	0	0	1	55	0	0	1	12	13	1	0	23	5371
0.5495	1	0	0	1	55	0	1	1	12	12	1	0	23	5371
0.55	1	0	0	1	55	1	0	1	12	11	1	0	23	5371
0.5505	1	0	0	1	55	1	1	1	12	15	1	0	23	5371
0.551	1	0	0	1	55	2	0	1	12	14	1	0	23	5371
0.5515	1	0	0	1	55	2	1	1	12	13	1	0	23	5371
0.552	1	0	0	1	55	3	0	1	12	12	1	0	23	5371
0.5525	1	0	0	1	55	3	1	1	12	11	1	0	23	5371
0.553	1	0	0	1	55	4	0	1	12	15	1	0	23	5371
0.5535	1	0	0	1	55	4	1	1	12	14	1	0	23	5371
0.554	1	0	0	1	55	5	0	1	12	13	1	0	23	5371
0.5545	1	0	0	1	55	5	1	1	12	12	1	0	23	5371
0.555	1	0	0	1	55	6	0	1	12	11	1	0	23	5371
0.5555	1	0	0	1	55	6	1	1	12	15	1	0	23	5371
0.556	1	0	0	1	55	7	0	1	11	14	1	0	23	4926
0.5565	1	0	0	1	55	7	1	1	11	13	1	0	23	4926
0.557	1	0	0	1	55	8	0	1	12	12	1	0	23	5371
0.5575	1	0	0	1	55	8	1	1	12	11	1	0	23	5371
0.558	1	0	0	1	55	9	0	1	12	15	1	0	23	5371
0.5585	1	0	0	1	55	9	1	1	12	14	1	0	23	5371
0.559	1	0	0	1	56	0	0	1	12	13	1	0	23	5371
0.5595	1	0	0	1	56	0	1	1	12	12	1	0	23	5371
0.56	1	0	0	1	56	1	0	1	12	11	1	0	23	5371
0.5605	1	0	0	1	56	1	1	1	12	15	1	0	23	5371
0.561	1	0	0	1	56	2	0	1	12	14	1	0	23	5371
0.5615	1	0	0	1	56	2	1	1	11	13	1	0	23	4926
0.562	1	0	0	1	56	3	0	1	12	12	1	0	23	5371
0.5625	1	0	0	1	56	3	1	1	12	11	1	0	23	5371
0.563	1	0	0	1	56	4	0	1	12	15	1	0	23	5371
0.5635	1	0	0	1	56	4	1	1	12	14	1	0	23	5371
0.564	1	0	0	1	56	5	0	1	12	13	1	0	23	5371
0.5645	1	0	0	1	56	5	1	1	12	12	1	0	23	5371
0.565	1	0	0	1	56	6	0	1	11	11	1	0	23	4926
0.5655	1	0	0	1	56	6	1	1	12	15	1	0	23	5371
0.566	1	0	0	1	56	7	0	1	12	14	1	0	23	5371
0.5665	1	0	0	1	56	7	1	1	12	13	1	0	23	5371
0.567	1	0	0	1	56	8	0	1	12	12	1	0	23	5371
0.5675	1	0	0	1	56	8	1	1	12	11	1	0	23	5371
0.568	1	0	0	1	56	9	0	1	12	15	1	0	23	5371
0.5685	1	0	0	1	56	9	1	1	11	14	1	0	23	4926
0.569	1	0	0	1	57	0	0	1	12	13	1	0	23	5371
0.5695	1	0	0	1	57	0	1	1	12	12	1	0	23	5371
0.57	1	0	0	1	57	1	0	1	12	11	1	0	23	5371
0.5705	1	0	0	1	57	1	1	1	12	15	1	0	23	5371
0.571	1	0	0	1	57	2	0	1	12	14	1	0	23	5371
0.5715	1	0	0	1	57	2	1	1	12	13	1	0	23	5371
0.572	1	0	0	1	57	3	0	1	11	12	1	0	23	4926
