time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.453564	5	1	3	1478	0.0225543
0.453564	5	1	3	1478	0.0225531
0.453564	5	1	3	1478	0.0225519
0.453564	5	1	3	1478	0.0225507
0.453564	5	1	3	1478	0.0225495
0.454064	5	1	3	1478	0.0230483
0.454064	5	1	3	1478	0.023047
0.454064	5	1	3	1478	0.0230458
0.454064	5	1	3	1478	0.0230446
0.454529	5	1	3	1478	0.0235077
0.454529	5	1	3	1478	0.0235065
0.454529	5	1	3	1478	0.0235053
0.454529	5	1	3	1478	0.0235041
0.455029	5	1	3	1478	0.0240028
0.455029	5	1	3	1478	0.0240016
0.455029	5	1	3	1478	0.0240004
0.455029	5	1	3	1478	0.0239992
0.455564	5	1	3	1478	0.0245337
0.455564	5	1	3	1478	0.0245325
0.455564	5	1	3	1478	0.0245313
0.455564	5	1	3	1478	0.0245301
0.455564	5	1	3	1478	0.0245288
0.456064	5	1	3	1478	0.0250276
0.456064	5	1	3	1478	0.0250264
0.456064	5	1	3	1478	0.0250252
0.456064	5	1	3	1478	0.025024
0.456529	5	1	3	1478	0.0254871
0.456529	5	1	3	1478	0.0254858
0.456529	5	1	3	1478	0.0254846
0.456529	5	1	3	1478	0.0254834
0.457064	5	1	3	1478	0.0260179
0.457064	5	1	3	1478	0.0260167
0.457064	5	1	3	1478	0.0260155
0.457064	5	1	3	1478	0.0260143
0.457564	5	1	3	1478	0.0265131
0.457564	5	1	3	1478	0.0265118
0.457564	5	1	3	1478	0.0265106
0.457564	5	1	3	1478	0.0265094
0.457564	5	1	3	1478	0.0265082
0.458064	5	1	3	1478	0.027007
0.458064	5	1	3	1478	0.0270058
0.458064	5	1	3	1478	0.0270046
0.458064	5	1	3	1478	0.0270033
0.458564	5	1	3	1478	0.0275021
0.458564	5	1	3	1478	0.0275009
0.458564	5	1	3	1478	0.0274997
0.458564	5	1	3	1478	0.0274985
0.458564	5	1	3	1478	0.0274973
0.459064	5	1	3	1478	0.0279961
0.459064	5	1	3	1478	0.0279948
0.459064	5	1	3	1478	0.0279936
0.459064	5	1	3	1478	0.0279924
0.459564	5	1	3	1478	0.0284912
0.459564	5	1	3	1478	0.02849
0.459564	5	1	3	1478	0.0284888
0.459564	5	1	3	1478	0.0284876
0.460064	5	1	3	1478	0.0289863
0.460064	5	1	3	1478	0.0289851
0.460064	5	1	3	1478	0.0289839
0.460064	5	1	3	1478	0.0289827
0.460064	5	1	3	1478	0.0289815
0.460564	5	1	3	1478	0.0294803
0.460564	5	1	3	1478	0.0294791
0.460564	5	1	3	1478	0.0294779
0.460564	5	1	3	1478	0.0294766
0.461064	5	1	3	1478	0.0299754
0.461064	5	1	3	1478	0.0299742
0.461064	5	1	3	1478	0.029973
0.461064	5	1	3	1478	0.0299718
0.461564	5	1	3	1478	0.0304706
0.461564	5	1	3	1478	0.0304694
0.461564	5	1	3	1478	0.0304681
0.461564	5	1	3	1478	0.0304669
0.461564	5	1	3	1478	0.0304657
0.462064	5	1	3	1478	0.0309645
0.462064	5	1	3	1478	0.0309633
0.462064	5	1	3	1478	0.0309621
0.462064	5	1	3	1478	0.0309609
0.462564	5	1	3	1478	0.0314596
0.462564	5	1	3	1478	0.0314584
0.462564	5	1	3	1478	0.0314572
0.462564	5	1	3	1478	0.031456
0.462564	5	1	3	1478	0.0314548
0.463064	5	1	3	1478	0.0319536
0.463064	5	1	3	1478	0.0319524
0.463064	5	1	3	1478	0.0319511
0.463064	5	1	3	1478	0.0319499
0.463564	5	1	3	1478	0.0324487
0.463564	5	1	3	1478	0.0324475
0.463564	5	1	3	1478	0.0324463
0.463564	5	1	3	1478	0.0324451
0.464064	5	1	3	1478	0.0329439
0.464064	5	1	3	1478	0.0329426
0.464064	5	1	3	1478	0.0329414
0.464064	5	1	3	1478	0.0329402
0.464064	5	1	3	1478	0.032939
0.464564	5	1	3	1478	0.0334378
0.464564	5	1	3	1478	0.0334366
0.464564	5	1	3	1478	0.0334354
0.464564	5	1	3	1478	0.0334341
0.465029	5	1	3	1478	0.0338972
0.465029	5	1	3	1478	0.033896
0.465029	5	1	3	1478	0.0338948
0.465029	5	1	3	1478	0.0338936
0.465564	5	1	3	1478	0.0344281
0.465564	5	1	3	1478	0.0344269
0.465564	5	1	3	1478	0.0344256
0.465564	5	1	3	1478	0.0344244
0.465564	5	1	3	1478	0.0344232
0.466064	5	1	3	1478	0.034922
0.466064	5	1	3	1478	0.0349208
0.466064	5	1	3	1478	0.0349196
0.466064	5	1	3	1478	0.0349184
0.466564	5	1	3	1478	0.0354172
0.466564	5	1	3	1478	0.0354159
0.466564	5	1	3	1478	0.0354147
0.466564	5	1	3	1478	0.0354135
0.467064	5	1	3	1478	0.0359123
0.467064	5	1	3	1478	0.0359111
0.467064	5	1	3	1478	0.0359099
0.467064	5	1	3	1478	0.0359087
0.467064	5	1	3	1478	0.0359074
0.467564	5	1	3	1478	0.0364062
0.467564	5	1	3	1478	0.036405
0.467564	5	1	3	1478	0.0364038
0.467564	5	1	3	1478	0.0364026
0.468064	5	1	3	1478	0.0369014
0.468064	5	1	3	1478	0.0369002
0.468064	5	1	3	1478	0.0368989
0.468064	5	1	3	1478	0.0368977
0.468564	5	1	3	1478	0.0373965
0.468564	5	1	3	1478	0.0373953
0.468564	5	1	3	1478	0.0373941
0.468564	5	1	3	1478	0.0373929
0.468564	5	1	3	1478	0.0373917
0.469064	5	1	3	1478	0.0378904
0.469064	5	1	3	1478	0.0378892
0.469064	5	1	3	1478	0.037888
0.469064	5	1	3	1478	0.0378868
0.469564	5	1	3	1478	0.0383856
0.469564	5	1	3	1478	0.0383844
0.469564	5	1	3	1478	0.0383832
0.469564	5	1	3	1478	0.0383819
0.469564	5	1	3	1478	0.0383807
0.470029	5	1	3	1478	0.0388438
0.470029	5	1	3	1478	0.0388426
0.470029	5	1	3	1478	0.0388414
0.470029	5	1	3	1478	0.0388402
0.470564	5	1	3	1478	0.0393747
0.470564	5	1	3	1478	0.0393734
0.470564	5	1	3	1478	0.0393722
0.470564	5	1	3	1478	0.039371
0.471064	5	1	3	1478	0.0398698
0.471064	5	1	3	1478	0.0398686
0.471064	5	1	3	1478	0.0398674
0.471064	5	1	3	1478	0.0398662
0.471529	5	1	3	1478	0.0403292
0.471529	5	1	3	1478	0.040328
0.471529	5	1	3	1478	0.0403268
0.471529	5	1	3	1478	0.0403256
0.472029	5	1	3	1478	0.0408244
0.472029	5	1	3	1478	0.0408232
0.472029	5	1	3	1478	0.040822
0.472029	5	1	3	1478	0.0408207
0.472564	5	1	3	1478	0.0413552
0.472564	5	1	3	1478	0.041354
0.472564	5	1	3	1478	0.0413528
0.472564	5	1	3	1478	0.0413516
0.472564	5	1	3	1478	0.0413504
0.472921	5	1	3	1478	0.0417063
0.472921	5	1	3	1478	0.0417051
0.472921	5	1	3	1478	0.0417039
0.493564	5	2	3	1478	0.00195762
0.493564	5	2	3	1478	0.00195641
0.493564	5	2	3	1478	0.0019552
0.493564	5	2	3	1478	0.00195398
0.494064	5	2	3	1478	0.00245277
0.494064	5	2	3	1478	0.00245155
0.494064	5	2	3	1478	0.00245034
0.494064	5	2	3	1478	0.00244913
0.494529	5	2	3	1478	0.0029122
0.494529	5	2	3	1478	0.00291098
0.494529	5	2	3	1478	0.00290977
0.494529	5	2	3	1478	0.00290856
0.495029	5	2	3	1478	0.00340734
0.495029	5	2	3	1478	0.00340613
0.495029	5	2	3	1478	0.00340491
0.495029	5	2	3	1478	0.0034037
0.495564	5	2	3	1478	0.0039382
0.495564	5	2	3	1478	0.00393699
0.495564	5	2	3	1478	0.00393577
0.495564	5	2	3	1478	0.00393456
0.495564	5	2	3	1478	0.00393334
0.496064	5	2	3	1478	0.00443213
0.496064	5	2	3	1478	0.00443092
0.496064	5	2	3	1478	0.0044297
0.496064	5	2	3	1478	0.00442849
0.496529	5	2	3	1478	0.00489156
0.496529	5	2	3	1478	0.00489035
0.496529	5	2	3	1478	0.00488913
0.496529	5	2	3	1478	0.00488792
0.497064	5	2	3	1478	0.00542242
0.497064	5	2	3	1478	0.0054212
0.497064	5	2	3	1478	0.00541999
0.497064	5	2	3	1478	0.00541878
0.497564	5	2	3	1478	0.00591756
0.497564	5	2	3	1478	0.00591635
0.497564	5	2	3	1478	0.00591513
0.497564	5	2	3	1478	0.00591392
0.497564	5	2	3	1478	0.00591271
0.498064	5	2	3	1478	0.00641149
0.498064	5	2	3	1478	0.00641028
0.498064	5	2	3	1478	0.00640906
0.498064	5	2	3	1478	0.00640785
0.498564	5	2	3	1478	0.00690664
0.498564	5	2	3	1478	0.00690542
0.498564	5	2	3	1478	0.00690421
0.498564	5	2	3	1478	0.00690299
0.498564	5	2	3	1478	0.00690178
0.499064	5	2	3	1478	0.00740057
0.499064	5	2	3	1478	0.00739935
0.499064	5	2	3	1478	0.00739814
0.499064	5	2	3	1478	0.00739692
0.499564	5	2	3	1478	0.00789571
0.499564	5	2	3	1478	0.0078945
0.499564	5	2	3	1478	0.00789328
0.499564	5	2	3	1478	0.00789207
0.500064	5	2	3	1478	0.00839085
0.500064	5	2	3	1478	0.00838964
0.500064	5	2	3	1478	0.00838843
0.500064	5	2	3	1478	0.00838721
0.500064	5	2	3	1478	0.008386
0.500564	5	2	3	1478	0.00888478
0.500564	5	2	3	1478	0.00888357
0.500564	5	2	3	1478	0.00888236
0.500564	5	2	3	1478	0.00888114
0.501064	5	2	3	1478	0.00937993
0.501064	5	2	3	1478	0.00937871
0.501064	5	2	3	1478	0.0093775
0.501064	5	2	3	1478	0.00937629
0.501064	5	2	3	1478	0.00937507
0.501564	5	2	3	1478	0.00987386
0.501564	5	2	3	1478	0.00987264
0.501564	5	2	3	1478	0.00987143
0.501564	5	2	3	1478	0.00987022
0.502064	5	2	3	1478	0.010369
0.502064	5	2	3	1478	0.0103678
0.502064	5	2	3	1478	0.0103666
0.502064	5	2	3	1478	0.0103654
0.502564	5	2	3	1478	0.0108641
0.502564	5	2	3	1478	0.0108629
0.502564	5	2	3	1478	0.0108617
0.502564	5	2	3	1478	0.0108605
0.502564	5	2	3	1478	0.0108593
0.503064	5	2	3	1478	0.0113581
0.503064	5	2	3	1478	0.0113569
0.503064	5	2	3	1478	0.0113556
0.503064	5	2	3	1478	0.0113544
0.503564	5	2	3	1478	0.0118532
0.503564	5	2	3	1478	0.011852
0.503564	5	2	3	1478	0.0118508
0.503564	5	2	3	1478	0.0118496
0.504064	5	2	3	1478	0.0123484
0.504064	5	2	3	1478	0.0123472
0.504064	5	2	3	1478	0.0123459
0.504064	5	2	3	1478	0.0123447
0.504064	5	2	3	1478	0.0123435
0.504564	5	2	3	1478	0.0128423
0.504564	5	2	3	1478	0.0128411
0.504564	5	2	3	1478	0.0128399
0.504564	5	2	3	1478	0.0128387
0.505029	5	2	3	1478	0.0133017
